emotion,emotion_score
"['neutral', 'surprise', 'joy', 'neutral', 'surprise', 'surprise', 'neutral', 'neutral', 'neutral', 'fear', 'joy', 'neutral', 'neutral', 'surprise', 'joy', 'fear', 'fear', 'neutral', 'neutral', 'sadness', 'joy', 'neutral', 'disgust', 'neutral', 'neutral', 'joy', 'neutral', 'joy', 'neutral', 'neutral', 'sadness', 'disgust']","[0.5991194248199463, 0.18798485398292542, 0.16449786722660065, 0.5396798849105835, 0.40466561913490295, 0.7991384267807007, 0.11965072900056839, 0.9369202852249146, 0.6418014168739319, 0.24397137761116028, 0.7957797646522522, 0.17116017639636993, 0.8375450372695923, 0.46137064695358276, 0.2487039864063263, 0.1309538632631302, 0.6193212270736694, 0.23212961852550507, 0.5598708987236023, 0.2444007694721222, 0.9772548675537109, 0.627505362033844, 0.3016573190689087, 0.7646385431289673, 0.8926414847373962, 0.7592272758483887, 0.1816566288471222, 0.4850141704082489, 0.42855265736579895, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['sadness', 'anger', 'surprise', 'disgust', 'sadness', 'neutral', 'anger', 'surprise', 'neutral', 'anger', 'surprise', 'sadness', 'fear', 'anger', 'surprise', 'neutral', 'sadness', 'disgust']","[0.3544343113899231, 0.24715431034564972, 0.1530458927154541, 0.10367431491613388, 0.3794989585876465, 0.27125412225723267, 0.1332167536020279, 0.10021011531352997, 0.5481709241867065, 0.12866893410682678, 0.10154802352190018, 0.3389642536640167, 0.2811468243598938, 0.2728842496871948, 0.8276199102401733, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['neutral', 'joy', 'anger', 'fear', 'neutral', 'surprise', 'neutral', 'neutral', 'sadness', 'disgust', 'neutral', 'sadness', 'disgust', 'neutral', 'sadness', 'disgust', 'neutral', 'sadness', 'disgust', 'joy', 'surprise', 'neutral', 'sadness', 'disgust']","[0.652533769607544, 0.15604211390018463, 0.32097578048706055, 0.20921112596988678, 0.18553823232650757, 0.1796485036611557, 0.9558037519454956, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.8329951763153076, 0.11346495896577835, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['fear', 'sadness', 'anger', 'neutral', 'neutral', 'anger', 'disgust', 'neutral', 'sadness', 'disgust', 'neutral', 'sadness', 'disgust', 'anger', 'disgust', 'neutral', 'surprise', 'neutral', 'sadness', 'disgust']","[0.98497074842453, 0.4368828237056732, 0.27657949924468994, 0.14133320748806, 0.9395115971565247, 0.5022857189178467, 0.4254841208457947, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.5667062997817993, 0.27506566047668457, 0.4861094355583191, 0.40171554684638977, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['neutral', 'neutral', 'neutral', 'joy', 'neutral', 'neutral', 'joy', 'neutral', 'sadness', 'disgust']","[0.8813676834106445, 0.9154712557792664, 0.9399569034576416, 0.7386589646339417, 0.21912868320941925, 0.5028470754623413, 0.44011837244033813, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['neutral', 'surprise', 'joy', 'neutral', 'fear', 'neutral', 'anger', 'neutral', 'anger', 'sadness', 'disgust', 'anger', 'neutral', 'fear', 'neutral', 'joy', 'neutral', 'sadness', 'disgust']","[0.8270858526229858, 0.11432940512895584, 0.6877872943878174, 0.27488118410110474, 0.9002230763435364, 0.8324100375175476, 0.7416355609893799, 0.18026526272296906, 0.691440761089325, 0.1102171316742897, 0.578788161277771, 0.39326396584510803, 0.8065411448478699, 0.12984298169612885, 0.6898819208145142, 0.1684114634990692, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['joy', 'neutral', 'joy', 'neutral', 'joy', 'neutral', 'surprise', 'fear', 'neutral', 'surprise', 'surprise', 'neutral', 'surprise', 'neutral', 'fear', 'joy', 'fear', 'joy', 'joy', 'neutral', 'neutral', 'sadness', 'disgust']","[0.9200024604797363, 0.6934497952461243, 0.2282859832048416, 0.5294123291969299, 0.3688625991344452, 0.620315670967102, 0.1279635727405548, 0.11473704129457474, 0.8035674095153809, 0.12547889351844788, 0.9165342450141907, 0.5688495635986328, 0.3315699100494385, 0.6015204191207886, 0.2293478101491928, 0.6737013459205627, 0.13512487709522247, 0.893168032169342, 0.7505135536193848, 0.22302542626857758, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['neutral', 'surprise', 'joy', 'neutral', 'neutral', 'surprise', 'sadness', 'surprise', 'neutral', 'neutral', 'neutral', 'surprise', 'fear', 'surprise', 'neutral', 'joy', 'joy', 'neutral', 'joy', 'neutral', 'neutral', 'neutral', 'joy', 'neutral', 'joy', 'neutral', 'neutral', 'disgust', 'joy', 'sadness', 'joy', 'neutral', 'sadness', 'disgust']","[0.8008037805557251, 0.17306123673915863, 0.5795130729675293, 0.33980581164360046, 0.5885257124900818, 0.19334566593170166, 0.16399267315864563, 0.6800430417060852, 0.2449018359184265, 0.8731479048728943, 0.4683748185634613, 0.2553951144218445, 0.17635458707809448, 0.392758309841156, 0.3729747533798218, 0.19190257787704468, 0.6834344863891602, 0.21183578670024872, 0.6216104626655579, 0.31062453985214233, 0.7908806800842285, 0.8089075088500977, 0.14493465423583984, 0.4826473593711853, 0.42459824681282043, 0.6730781197547913, 0.7300328612327576, 0.1128736212849617, 0.9149105548858643, 0.875433623790741, 0.9306102395057678, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['joy', 'neutral', 'joy', 'neutral', 'joy']","[0.7685440182685852, 0.18077298998832703, 0.9635313749313354, 0.9039328694343567, 0.9287765622138977]"
"['neutral', 'surprise', 'neutral', 'surprise', 'surprise', 'neutral', 'fear', 'joy', 'neutral', 'surprise', 'neutral', 'neutral', 'neutral', 'sadness', 'disgust']","[0.5585317015647888, 0.3517667055130005, 0.7975963354110718, 0.1264091283082962, 0.44939613342285156, 0.2014530897140503, 0.14371918141841888, 0.5818377733230591, 0.3537081480026245, 0.5056974291801453, 0.3884630501270294, 0.8334311842918396, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['neutral', 'surprise', 'neutral', 'joy', 'joy', 'neutral', 'disgust', 'neutral', 'joy', 'neutral', 'joy', 'neutral', 'disgust', 'neutral', 'surprise']","[0.9204264879226685, 0.41539278626441956, 0.35079944133758545, 0.19804461300373077, 0.4755694270133972, 0.3131692707538605, 0.1830688714981079, 0.7626948952674866, 0.10691150277853012, 0.9471869468688965, 0.9832887053489685, 0.773776113986969, 0.10299211740493774, 0.8181064128875732, 0.14217530190944672]"
"['sadness', 'surprise', 'neutral', 'joy', 'surprise', 'sadness', 'joy', 'neutral', 'sadness', 'disgust', 'surprise', 'neutral', 'joy', 'neutral', 'joy']","[0.7488107681274414, 0.19979196786880493, 0.4153194725513458, 0.37748008966445923, 0.14905987679958344, 0.890597403049469, 0.9105995893478394, 0.3668496012687683, 0.2739209532737732, 0.19488775730133057, 0.10590840131044388, 0.5479535460472107, 0.38791707158088684, 0.8880735635757446, 0.9375565052032471]"
"['neutral', 'surprise', 'joy', 'fear', 'anger']","[0.2198520004749298, 0.19785159826278687, 0.1918107271194458, 0.16936656832695007, 0.16732479631900787]"
"['neutral', 'surprise', 'neutral', 'sadness', 'disgust', 'neutral', 'sadness', 'disgust', 'neutral', 'sadness', 'disgust', 'surprise', 'neutral', 'neutral', 'joy', 'neutral', 'surprise', 'neutral', 'joy', 'neutral', 'surprise', 'joy', 'neutral']","[0.6576516628265381, 0.15403097867965698, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.7745519280433655, 0.18563996255397797, 0.6844607591629028, 0.2677339017391205, 0.5870806574821472, 0.2674800157546997, 0.6951650381088257, 0.24861197173595428, 0.7535426616668701, 0.16586486995220184, 0.5437191724777222, 0.38688454031944275]"
"['sadness', 'neutral', 'surprise', 'joy', 'joy', 'neutral', 'surprise', 'neutral', 'sadness', 'disgust']","[0.513943076133728, 0.190177783370018, 0.14965476095676422, 0.7937493324279785, 0.3973998725414276, 0.3589670956134796, 0.21221864223480225, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['neutral', 'sadness', 'anger', 'sadness', 'surprise', 'neutral', 'neutral', 'sadness', 'disgust', 'neutral', 'sadness', 'disgust', 'surprise', 'surprise', 'neutral', 'sadness', 'joy', 'neutral', 'joy', 'joy', 'neutral', 'joy', 'surprise', 'neutral', 'joy', 'anger']","[0.48720329999923706, 0.25362861156463623, 0.14354683458805084, 0.6783128380775452, 0.21201463043689728, 0.9148662686347961, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.8987240791320801, 0.7167292237281799, 0.17117753624916077, 0.8146033883094788, 0.7268186807632446, 0.2326064258813858, 0.9087074995040894, 0.8630849123001099, 0.10299511253833771, 0.8655896782875061, 0.4347120523452759, 0.18191100656986237, 0.15163955092430115, 0.14328107237815857]"
"['neutral', 'surprise', 'joy', 'neutral', 'joy', 'joy', 'neutral', 'joy', 'neutral', 'joy', 'surprise', 'joy', 'neutral', 'neutral', 'sadness', 'disgust']","[0.7163848280906677, 0.2057938128709793, 0.9258700013160706, 0.8267239332199097, 0.11557510495185852, 0.9321596026420593, 0.7298365235328674, 0.15142148733139038, 0.6848613023757935, 0.12462473660707474, 0.12194617837667465, 0.8071326017379761, 0.1067304015159607, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['neutral', 'joy', 'fear', 'surprise', 'neutral', 'surprise', 'fear', 'neutral', 'disgust', 'neutral', 'surprise', 'neutral', 'fear', 'neutral', 'anger', 'neutral', 'sadness', 'disgust', 'neutral', 'sadness', 'disgust']","[0.6618289947509766, 0.21341413259506226, 0.6076792478561401, 0.30872324109077454, 0.582360565662384, 0.37332892417907715, 0.9547855257987976, 0.4944983720779419, 0.43390342593193054, 0.7701044678688049, 0.13966098427772522, 0.5548624992370605, 0.2990589439868927, 0.8378970623016357, 0.4038277566432953, 0.22716355323791504, 0.183267742395401, 0.14233428239822388, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['surprise', 'neutral', 'neutral', 'joy', 'neutral', 'sadness', 'joy', 'neutral', 'surprise', 'anger', 'neutral', 'surprise', 'fear', 'neutral', 'surprise', 'neutral', 'joy', 'neutral', 'surprise', 'joy', 'neutral', 'joy', 'surprise', 'neutral', 'sadness', 'fear', 'neutral', 'surprise', 'joy']","[0.6371700763702393, 0.23593366146087646, 0.8219777941703796, 0.12496805936098099, 0.6553112864494324, 0.1963903307914734, 0.718804657459259, 0.23662340641021729, 0.7415416240692139, 0.1497141569852829, 0.5360543131828308, 0.4080148935317993, 0.46584847569465637, 0.2528058886528015, 0.1173625960946083, 0.739194393157959, 0.1045973151922226, 0.8616563677787781, 0.10140880197286606, 0.8341754078865051, 0.12178151309490204, 0.7399559020996094, 0.19987913966178894, 0.6728180646896362, 0.10518420487642288, 0.6339445114135742, 0.22081993520259857, 0.5963659286499023, 0.3156081736087799]"
"['joy', 'neutral', 'surprise', 'surprise', 'neutral', 'fear', 'neutral', 'surprise', 'neutral', 'joy']","[0.47551313042640686, 0.20285138487815857, 0.1703576147556305, 0.6381204724311829, 0.14861024916172028, 0.37177276611328125, 0.3639909625053406, 0.20039454102516174, 0.6415647268295288, 0.3042590618133545]"
"['fear', 'neutral', 'joy', 'neutral', 'joy', 'neutral', 'surprise', 'joy', 'neutral', 'joy', 'neutral', 'joy', 'fear', 'neutral', 'neutral', 'neutral', 'sadness', 'disgust']","[0.7278093099594116, 0.1479472517967224, 0.5168554186820984, 0.4399951100349426, 0.5529242753982544, 0.4014691710472107, 0.578541100025177, 0.3766888678073883, 0.6523849964141846, 0.23253214359283447, 0.3486384451389313, 0.34118062257766724, 0.1583881974220276, 0.8023450970649719, 0.8727266788482666, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['joy', 'neutral', 'sadness', 'disgust', 'surprise', 'neutral', 'sadness', 'neutral', 'sadness', 'disgust', 'neutral', 'joy', 'neutral', 'sadness', 'disgust', 'sadness', 'neutral', 'neutral', 'sadness', 'disgust', 'neutral', 'sadness', 'disgust']","[0.9395977854728699, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.4621049761772156, 0.3047449588775635, 0.14968805015087128, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.7860652208328247, 0.13493779301643372, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.4533561170101166, 0.30595678091049194, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['sadness', 'neutral', 'sadness', 'anger', 'neutral', 'neutral', 'neutral', 'surprise', 'neutral', 'surprise', 'neutral', 'sadness', 'surprise', 'surprise', 'neutral', 'neutral', 'joy', 'neutral', 'joy', 'anger', 'surprise', 'neutral', 'neutral', 'sadness', 'fear', 'neutral', 'surprise', 'neutral', 'surprise', 'neutral', 'sadness', 'disgust', 'neutral', 'sadness', 'disgust', 'neutral', 'anger', 'neutral', 'surprise', 'sadness', 'neutral', 'joy', 'surprise', 'neutral', 'joy', 'surprise', 'neutral']","[0.4124271273612976, 0.29957157373428345, 0.5630422830581665, 0.14762051403522491, 0.14619451761245728, 0.8597663640975952, 0.7174623608589172, 0.14650101959705353, 0.5695642232894897, 0.2730695307254791, 0.37045544385910034, 0.32153192162513733, 0.232880637049675, 0.583148181438446, 0.17020577192306519, 0.9359456896781921, 0.8727030158042908, 0.3667224049568176, 0.3141973316669464, 0.20300301909446716, 0.763930082321167, 0.12788602709770203, 0.3986894190311432, 0.3504650592803955, 0.11947941780090332, 0.6309335827827454, 0.24149858951568604, 0.8048707842826843, 0.16149014234542847, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.46858078241348267, 0.34233707189559937, 0.5533011555671692, 0.20999649167060852, 0.1478515863418579, 0.7133432626724243, 0.5426345467567444, 0.22527678310871124, 0.19281433522701263, 0.6311166286468506, 0.20238067209720612, 0.1322592794895172]"
"['disgust', 'neutral', 'neutral', 'sadness', 'disgust']","[0.9487559795379639, 0.7553803324699402, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['disgust', 'anger', 'disgust', 'neutral', 'fear', 'anger']","[0.9063656330108643, 0.5524632930755615, 0.21844638884067535, 0.15619997680187225, 0.7081793546676636, 0.13465626537799835]"
"['sadness', 'anger', 'neutral', 'joy', 'disgust', 'sadness', 'joy', 'neutral', 'surprise', 'joy', 'neutral', 'neutral', 'disgust', 'anger', 'anger', 'sadness', 'neutral', 'sadness', 'neutral', 'surprise', 'anger', 'disgust', 'fear', 'neutral', 'anger', 'disgust', 'disgust', 'anger', 'sadness', 'neutral', 'sadness', 'disgust']","[0.7756650447845459, 0.13442443311214447, 0.4980263113975525, 0.38358208537101746, 0.9647548198699951, 0.8784601092338562, 0.9506020545959473, 0.6230610013008118, 0.20666539669036865, 0.11343173682689667, 0.8517150282859802, 0.7145152688026428, 0.10520550608634949, 0.10439462959766388, 0.5477713346481323, 0.2693955600261688, 0.11797447502613068, 0.47239649295806885, 0.22437772154808044, 0.17028513550758362, 0.6105200052261353, 0.17649659514427185, 0.1103798896074295, 0.2998831868171692, 0.295632541179657, 0.2059071958065033, 0.7213636040687561, 0.12280457466840744, 0.1047997921705246, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['sadness', 'disgust', 'neutral', 'joy', 'joy', 'neutral', 'fear', 'fear', 'anger', 'neutral', 'sadness', 'disgust', 'neutral', 'sadness', 'disgust', 'neutral', 'sadness', 'disgust', 'fear', 'surprise', 'anger', 'disgust', 'surprise', 'anger', 'anger', 'neutral', 'sadness', 'disgust', 'neutral', 'sadness', 'disgust', 'surprise', 'neutral', 'sadness', 'disgust', 'neutral', 'joy', 'neutral', 'surprise', 'neutral']","[0.45916905999183655, 0.21596448123455048, 0.14641764760017395, 0.10951875895261765, 0.3644911050796509, 0.2944854497909546, 0.1977994441986084, 0.7284833192825317, 0.12302527576684952, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.5573009848594666, 0.2186487913131714, 0.186392679810524, 0.46785199642181396, 0.2675406336784363, 0.13579590618610382, 0.9174570441246033, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.8553985357284546, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.7269338965415955, 0.4553859829902649, 0.40296828746795654, 0.5856443643569946, 0.3300253748893738]"
"['neutral', 'neutral', 'surprise', 'neutral', 'neutral', 'surprise', 'neutral', 'joy', 'neutral', 'sadness', 'disgust']","[0.883781909942627, 0.9501366019248962, 0.47536224126815796, 0.46510049700737, 0.5715931057929993, 0.3372620642185211, 0.8552858829498291, 0.9103570580482483, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['neutral', 'surprise', 'disgust', 'anger', 'sadness', 'fear', 'surprise', 'neutral', 'sadness', 'disgust', 'neutral', 'sadness', 'disgust', 'neutral', 'sadness', 'disgust']","[0.5175547003746033, 0.3758290410041809, 0.44084951281547546, 0.2196589559316635, 0.12767189741134644, 0.12265119701623917, 0.8467760682106018, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['disgust', 'neutral', 'disgust', 'neutral', 'disgust', 'sadness', 'neutral', 'disgust', 'fear', 'disgust', 'anger', 'neutral', 'sadness', 'disgust']","[0.6765336990356445, 0.2515762150287628, 0.8023554682731628, 0.13874374330043793, 0.9057925343513489, 0.5411443710327148, 0.21497224271297455, 0.9812661409378052, 0.7885668277740479, 0.13807570934295654, 0.9690048098564148, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['neutral', 'surprise', 'joy', 'joy', 'neutral', 'joy', 'neutral', 'surprise', 'sadness', 'surprise', 'neutral', 'sadness', 'surprise', 'neutral', 'surprise', 'neutral', 'surprise', 'neutral', 'neutral', 'surprise', 'sadness', 'neutral', 'neutral', 'neutral', 'joy', 'neutral', 'sadness', 'disgust']","[0.6598424911499023, 0.1722322553396225, 0.10316073149442673, 0.4676683247089386, 0.42451560497283936, 0.4277160167694092, 0.4035993814468384, 0.9218874573707581, 0.6363659501075745, 0.28564345836639404, 0.3489041328430176, 0.3086894154548645, 0.26443779468536377, 0.46137648820877075, 0.44621098041534424, 0.4508759677410126, 0.3967205286026001, 0.9586089849472046, 0.490189790725708, 0.4027808904647827, 0.49748387932777405, 0.3437688946723938, 0.9155935645103455, 0.7578026652336121, 0.12492609024047852, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
"['neutral', 'neutral', 'surprise', 'sadness', 'joy', 'neutral', 'joy', 'neutral', 'neutral', 'joy', 'neutral', 'disgust', 'neutral', 'neutral', 'neutral', 'neutral', 'sadness', 'disgust']","[0.937687337398529, 0.4993112087249756, 0.2710590362548828, 0.12248168140649796, 0.6228878498077393, 0.33398962020874023, 0.953597366809845, 0.9334520697593689, 0.5638135671615601, 0.33844324946403503, 0.8859802484512329, 0.5863029956817627, 0.3375574052333832, 0.8839011192321777, 0.8783840537071228, 0.5494772791862488, 0.11169009655714035, 0.10400658845901489]"
